index_code,component_code,component_type,mode,weight,scale_factor,source_url
BDI,BCI,INDEX,WEIGHTED_SUM,0.4,1.0,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BDI,BPI,INDEX,WEIGHTED_SUM,0.3,1.0,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BDI,BSI,INDEX,WEIGHTED_SUM,0.3,1.0,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BCI,C8_182,ROUTE,WEIGHTED_SUM,0.15,0.11026,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BCI,C9_182,ROUTE,WEIGHTED_SUM,0.125,0.11026,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BCI,C10_182,ROUTE,WEIGHTED_SUM,0.35,0.11026,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BCI,C14_182,ROUTE,WEIGHTED_SUM,0.25,0.11026,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BCI,C16_182,ROUTE,WEIGHTED_SUM,0.125,0.11026,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BPI,P1A_82,ROUTE,COEFFICIENT_SUM,0.027777775,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BPI,P2A_82,ROUTE,COEFFICIENT_SUM,0.01111111,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BPI,P3A_82,ROUTE,COEFFICIENT_SUM,0.027777775,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BPI,P4_82,ROUTE,COEFFICIENT_SUM,0.01111111,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BPI,P6_82,ROUTE,COEFFICIENT_SUM,0.03333333,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BSI,S1B_63,ROUTE,WEIGHTED_SUM,0.05,0.079112625,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BSI,S1C_63,ROUTE,WEIGHTED_SUM,0.05,0.079112625,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BSI,S2_63,ROUTE,WEIGHTED_SUM,0.15,0.079112625,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BSI,S3_63,ROUTE,WEIGHTED_SUM,0.15,0.079112625,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BSI,S4A_63,ROUTE,WEIGHTED_SUM,0.075,0.079112625,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BSI,S4B_63,ROUTE,WEIGHTED_SUM,0.1,0.079112625,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BSI,S5_63,ROUTE,WEIGHTED_SUM,0.05,0.079112625,https://www.balticexchange.com/en/data-services/market-information0/indices.html
