clearing_house,contract_code,contract_name,contract_type,source_url
CME,FBX01,FBX01 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,FBX02,FBX02 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,FBX03,FBX03 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,FBX11,FBX11 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,FBX12,FBX12 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,FBX13,FBX13 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TC2,TC2 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TC6,TC6 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TC11,TC11 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TC12,TC12 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TC14,TC14 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TC15,TC15 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TC17,TC17 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TC2,TC2 (Baltic) BALMO Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TC6,TC6 (Baltic) BALMO Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TC11,TC11 (Baltic) BALMO Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TC12,TC12 (Baltic) BALMO Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TC14,TC14 (Baltic) BALMO Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TC15,TC15 (Baltic) BALMO Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TC2,Mini Freight Route TC2 (Baltic) Daily Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TC14,Mini Freight Route TC14 (Baltic) Daily Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TC2,TC2 (Baltic) Average Price Option,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TD3C,TD3C (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TD7,TD7 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TD8,TD8 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TD20,TD20 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TD22,TD22 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TD25,TD25 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
